s_name	s_LMA	s_Nmass	s_Pmass	s_wsg	s_dbhmax	s_hmax	s_ah	s_seedmass	s_regionalfreq	s_tlp	s_leafarea
Abuta_candollei	82.15277774041648	0.02175703135177837	9.016844740764788e-4	0.45	0.3972760749999999	41.51722344310684	0.26304437288134463	1	0.0019723865877712	-1.6356505581963383	127.1595308905972
Abuta_grandifolia	83.23553583583839	0.0233151308	0.00122848965	0.45	0.3998300749999999	44.14867917315402	0.350700289045522	1	0.0019723865877712	-1.6595950205136225	151.32818183795513
Abuta_panurensis	80.68043783224633	0.02132589444315833	8.936666457537202e-4	0.45	0.3967876949999999	42.33724366814328	0.2631053493232899	1	0.0019723865877712	-1.6652715844226051	106.12512944623607
Adenocalymma_bracteosum	101.70819261931508	0.02502547870724192	9.492753555006574e-4	0.6407385034283267	0.47480351500000006	41.72846410614635	0.22934538703991503	1	0.0019723865877712	-1.5247403858281965	99.00264964604344
Adenocalymma_impressum	80.5464711915002	0.02265535714285714	8.654816978176047e-4	0.4916177130693808	0.48988233499999995	46.871429154019616	0.17222833531723283	1	0.0019723865877712	-1.5684736574509612	59.922
Adenocalymma_schomburgkii	102.96998180254914	0.01426933321315859	8.751929726176022e-4	0.6407385034283267	0.48070514999999986	41.55451854535464	0.23050169043983107	1	0.0019723865877712	-1.5060083610196728	83.6739936658883
Adenocalymma_subincanum	139.80313353891395	0.02979444444444444	8.589888936984099e-4	0.6407385034283267	0.45333660000000015	41.42141748149814	0.22333422193226657	1	0.0019723865877712	-1.5020938019105932	85.26196760750358
Adenocalymma_tanaeciicarpum	107.60198791066468	0.03781897233202065	9.52816e-4	0.6407385034283267	0.5087953000000001	40.33257365990629	0.2207583786285748	1	0.0019723865877712	-1.5940121694333234	80.64538289748673
Adenocalymma_validum	102.24159545879874	0.02367614545046718	8.775891857528609e-4	0.6407385034283267	0.4602606550000001	42.59398161247532	0.22383402450271156	1	0.0019723865877712	-1.6096421433025352	105.68111263361952
Agonandra_brasiliensis	113.05952930318416	0.01921818517702239	7.464016124123016e-4	0.809975	0.415	39.77540561661654	0.2521824014571596	1	0.0019723865877712	-1.7485693323225262	13.018817636255086
Aiouea_guianensis	98.82694005738468	0.02365035525737478	9.639622122995484e-4	0.37	0.39937283000000007	44.371802124725306	0.2495109619511392	1	0.0019723865877712	-1.479396935083999	203.35562920430576
Aiouea_laevis	101.69479318065709	0.02362487043591261	9.662979293124097e-4	0.37	0.285354	44.008750047045126	0.2459805830774733	1	0.0019723865877712	-1.5205947899213177	206.31879380328735
Alchornea_rhodophylla	68.21627033896439	0.02542758309566084	9.213405748883584e-4	0.4084333333333333	0.4057259600000001	39.97656033745138	0.20935669191695713	1	0.0019723865877712	-1.6874837732726031	171.75989611212322
Alexa_grandiflora	79.05258235458346	0.02145	0.00101	0.644375	0.6391999999999999	43.174116216161075	0.20028112739128973	1	0.0019723865877712	-1.711424088965576	30
Alibertia_edulis	63.66948307779179	0.03053170415	6.1215741375e-5	0.7735100926	0.3557990000000001	40.19167940797968	0.23527214799516288	1	0.0019723865877712	-1.5575314830535347	34.43267543868421
Allophylus_edulis	75.73429159542711	0.02197214488983431	0.00101974839230743	0.564500066687613	0.31682008500000014	37.457322754157	0.2430043709349584	1	0.0019723865877712	-1.6844454969663212	28.014083661458336
Allophylus_floribundus	76.78569357790569	0.02298184792039016	9.616126377777034e-4	0.39	0.31827686500000024	38.08527078676139	0.2644861265656404	1	0.0019723865877712	-1.5998299520456112	95
Allophylus_punctatus	59.60247263382262	0.02639613990666666	0.00110504859514378	0.51775	0.2915124550000002	37.76818054882052	0.25418751253071814	1	0.0019723865877712	-1.6354832091020028	71.414666665
Amaioua_guianensis	64.43604219586639	0.0214906065475	8.323663230554505e-4	0.6192238438832769	0.205	22.06767830743933	0.3094904563326222	1	0.0019723865877712	-1.6091687228447882	54.83947134502923
Ambelania_acida	109.78494160391962	0.01363435946558516	3.0278325e-4	0.5261364074074074	0.5552473049999999	39.254766141494976	0.26167139688430463	1	0.0019723865877712	-1.54066666666667	84.45178927799489
Ampelocera_edentula	82.41676935687826	0.02529263790241864	9.973096446700505e-4	0.69175	0.31124999999999997	39.72794879355551	0.2416795052601623	1	0.0019723865877712	-1.7833059568731782	134.4008803220028
Amphilophium_granulosum	88.00533186615301	0.0149	0.0011	0.6407385034283267	0.5559140449999997	41.55731292088999	0.2496934925245216	1	0.0019723865877712	-1.6033157760234509	111.26732075236148
Amphiodon_effusus	55.60658736650012	0.02746135017469971	0.00172560487409895	0.5954735918445754	0.942660635	41.39873473317944	0.24434603303402977	1	0.0019723865877712	-1.8149554350216768	50.602690340909064
Amphirrhox_longifolia	57.407516769718384	0.02540569664976591	0.00113343266666666	0.67725525	0.4346476350000002	38.83042447180547	0.21307603565537497	1	0.0019723865877712	-1.735375	32.36790123456791
Anacardium_spruceanum	66.96172800283409	0.02630435124999999	8.898e-4	0.4680729166666666	0.65215	47.24912285472536	0.26896199286424155	1	0.0019723865877712	-1.7090609139824928	115.3249999999999
Andira_surinamensis	67.59259313183955	0.02687095612007249	8.960638232145852e-4	0.7077817948717948	0.345	44.00240937081194	0.2329815349715282	1	0.0019723865877712	-1.5887548076295177	26.5
Anemopaegma_parkeri	94.10048460329836	0.0223074776788549	9.221768984665988e-4	0.6407385034283267	0.551789765	41.71417457319657	0.2377639740977663	1	0.0019723865877712	-1.5657819082060884	121.46761362261232
