iter	sum1	sum10	sum30	ba	ba10	agb	gpp	npp	rday	rnight	rstem	litterfall
54	5180	441.5	70.75	24.6462	20.7185	277650	0.0968143	0.0327967	0	0.0238945	0.00624606	0.00544693
55	5181.25	441.5	70.75	24.6475	20.7193	277661	0.089104	0.0285393	0	0.0231278	0.00603409	0.00544947
56	5181.25	441.5	70.75	24.6485	20.7199	277671	0.0706679	0.0196583	0	0.0203844	0.00532675	0.00545194
57	5182	441.5	70.75	24.6499	20.7206	277683	0.0981227	0.0337431	0	0.023868	0.00624641	0.00545442
58	5180.75	441.25	70.75	24.6485	20.7188	277668	0.0919278	0.0298466	0	0.0235777	0.00616102	0.00545677
59	5184.75	441.25	70.75	24.6484	20.719	277670	0.0573403	0.0104283	0	0.0203715	0.00532693	0.00545906
60	5185.5	441.25	70.75	24.6493	20.7196	277678	0.0660565	0.0160759	0	0.0206314	0.00540064	0.00546133
61	5187.5	441.25	70.75	24.6502	20.7203	277688	0.0743085	0.0205766	0	0.0214899	0.00562801	0.00546346
62	5188.25	441.25	70.75	24.6516	20.7211	277700	0.100997	0.0351618	0	0.0242539	0.00637293	0.00546573
63	5191	441.25	70.75	24.6531	20.7219	277713	0.0882818	0.0287828	0	0.0225513	0.00590593	0.00546792
64	5190.5	441.25	70.75	24.6539	20.7225	277721	0.0665435	0.0166901	0	0.0204256	0.00536009	0.00547
65	5190.5	441.25	70.75	24.6549	20.7231	277731	0.0706963	0.0194238	0	0.0205385	0.00539571	0.00547209
66	5193.25	441.25	70.75	24.6562	20.7238	277742	0.0955502	0.032839	0	0.0232341	0.00610956	0.00547419
67	5195.5	441.25	70.75	24.6577	20.7248	277756	0.0869105	0.0283603	0	0.0221747	0.00582096	0.0054762
68	5196.75	441.25	70.75	24.6592	20.7256	277769	0.0852892	0.0274792	0	0.0219971	0.0057807	0.00547817
69	5198.75	441.25	70.75	24.6597	20.7265	277778	0.083193	0.0262677	0	0.0218214	0.00573906	0.00547953
70	5200.5	441	70.75	24.6571	20.7232	277769	0.0799569	0.0244977	0	0.0214804	0.00565686	0.00547955
71	5203	441.25	70.75	24.6581	20.7259	277778	0.0878713	0.0287379	0	0.0223554	0.00589367	0.00548137
72	5209.75	441.25	70.75	24.6598	20.7267	277791	0.10307	0.0368157	0	0.0240931	0.00636134	0.00548334
73	5209.75	441.25	71	24.6611	20.7274	277803	0.0955003	0.0324161	0	0.0234935	0.00618832	0.00548511
74	5209	441.25	71	24.6613	20.7282	277811	0.0969238	0.0326875	0	0.0239877	0.0063189	0.00548661
75	5210	441	71	24.6602	20.7267	277809	0.0728432	0.020131	0	0.0210792	0.0055396	0.00548795
76	5210.75	441	71	24.6608	20.7271	277815	0.059862	0.0126146	0	0.0200225	0.00527761	0.00548961
77	5212.75	440.75	71	24.6592	20.7254	277810	0.0591255	0.0107028	0	0.0210113	0.00553932	0.00549078
78	5211.25	440.75	71	24.6576	20.7262	277805	0.0913146	0.0295829	0	0.0234165	0.00618664	0.00549209
79	5210.75	441	71	24.659	20.729	277817	0.0822002	0.0254693	0	0.0218786	0.00577283	0.00549367
80	5213.75	441	71	24.66	20.7295	277825	0.065274	0.0158627	0	0.0203651	0.00538517	0.00549521
81	5214.25	441	71	24.6596	20.7303	277829	0.0897275	0.0301482	0	0.0222678	0.00588929	0.00549665
82	5212.75	441	71	24.6605	20.731	277840	0.0792085	0.0232465	0	0.0219604	0.0058078	0.00549792
83	5214.5	441	71	24.662	20.7319	277853	0.0848566	0.0263411	0	0.0225359	0.00596873	0.00549937
84	5213.25	441	71	24.6602	20.7324	277852	0.0682486	0.0172083	0	0.0208576	0.00552791	0.00550045
85	5216	441	71	24.6611	20.7331	277861	0.0830431	0.0251534	0	0.022473	0.00596128	0.00550172
86	5216.75	441	71	24.6623	20.7338	277872	0.0946734	0.0319342	0	0.02339	0.00621307	0.00550306
87	5217.75	441	71	24.6623	20.7341	277875	0.0554207	0.0100161	0	0.0196784	0.00522517	0.00550427
88	5217	441	71	24.6621	20.7346	277880	0.0636326	0.0142631	0	0.0206536	0.00548371	0.0055054
89	5219.5	441	71	24.6633	20.7353	277892	0.0940136	0.0326804	0	0.022564	0.00599678	0.0055066
90	5223.75	441	71	24.6647	20.7361	277903	0.0782137	0.0225021	0	0.0219799	0.00583354	0.0055078
91	5225.25	441	71	24.6657	20.7368	277914	0.0741742	0.0208207	0	0.0211976	0.00563374	0.0055089
92	5225	441	71	24.6667	20.7375	277924	0.0909672	0.0301601	0	0.0228237	0.00607561	0.00551003
93	5227	441	71	24.6679	20.7382	277935	0.0748421	0.0213226	0	0.0211707	0.00562986	0.00551112
94	5228.25	441	71	24.669	20.7389	277946	0.0929008	0.030862	0	0.0232588	0.006201	0.00551221
95	5230.5	441	71	24.6703	20.7396	277957	0.0886001	0.0294114	0	0.0222073	0.00590804	0.00551325
96	5231.5	441	71	24.6691	20.74	277955	0.0619663	0.0136435	0	0.0202886	0.00539932	0.00551378
97	5231.25	441	71	24.6702	20.7407	277966	0.0739049	0.0211421	0	0.0208369	0.0055504	0.00551474
98	5232.75	441	71	24.671	20.7414	277977	0.0857348	0.0272672	0	0.0222939	0.00594487	0.0055155
99	5235.25	441	71	24.6721	20.7421	277986	0.0714986	0.0193046	0	0.0209431	0.00558419	0.00551642
100	5234.5	441	71	24.6727	20.7424	277992	0.0574809	0.0117001	0	0.0194739	0.00520665	0.0055173
101	5235.75	441	71	24.6733	20.7434	278002	0.0834956	0.0271284	0	0.0213162	0.00569198	0.0055181
102	5237	441	71	24.6734	20.7441	278009	0.0894317	0.0302241	0	0.0220312	0.00588766	0.00551876
103	5238.5	441	71	24.6746	20.7448	278020	0.0737378	0.0209875	0	0.020854	0.00556989	0.00551954
104	5242.75	441	71	24.6751	20.7455	278027	0.0927847	0.0314828	0	0.0227643	0.00609226	0.00552034
105	5244.75	441	71	24.6761	20.746	278036	0.068586	0.0174062	0	0.0208433	0.005568	0.00552107
106	5245	441	71	24.6774	20.7469	278049	0.0819456	0.025916	0	0.0213972	0.00572288	0.00552175
107	5245.5	441	71	24.6785	20.7476	278059	0.0843104	0.0273895	0	0.021515	0.00575852	0.00552244
108	5248.75	441.25	71	24.6801	20.7505	278073	0.0838545	0.0274971	0	0.021228	0.00567961	0.00552308
109	5249.75	441.25	71	24.6811	20.7511	278083	0.0905926	0.0304833	0	0.0223961	0.00600122	0.0055237
110	5251.75	441.25	71	24.6822	20.752	278095	0.0809954	0.0257223	0	0.0210744	0.00563885	0.00552428
111	5252	441	71	24.6809	20.7504	278095	0.0804517	0.0247293	0	0.021486	0.00575586	0.00552471
112	5252.5	441	71	24.6824	20.7513	278109	0.0802402	0.0254675	0	0.0208819	0.00559671	0.00552524
113	5254.5	441	71	24.6828	20.7521	278119	0.0756846	0.0225401	0	0.0207047	0.00555351	0.00552558
114	5256	441.25	71	24.6842	20.7549	278131	0.0834863	0.0269642	0	0.0214027	0.00574323	0.00552608
115	5259	441.25	71	24.6841	20.7553	278136	0.062937	0.0149695	0	0.0197964	0.00531858	0.00552627
116	5260.25	441.25	71	24.684	20.7557	278140	0.0561147	0.0106979	0	0.0194822	0.00524025	0.00552644
117	5262.75	441.25	71	24.6851	20.7563	278150	0.0683829	0.0186454	0	0.0198707	0.00534415	0.00552676
118	5263.75	441.25	71	24.6863	20.7571	278161	0.0838607	0.0273974	0	0.0212774	0.00572114	0.00552713
119	5265.75	441.5	71	24.6875	20.7597	278172	0.0894889	0.0302468	0	0.0220153	0.00592138	0.00552748
120	5265.75	441.25	71	24.6842	20.7558	278156	0.0757085	0.0227497	0	0.0205661	0.00552518	0.00552748
121	5268.75	441.25	71	24.6854	20.7565	278167	0.0715046	0.0204815	0	0.020104	0.00541059	0.00552778
122	5269	441.25	71	24.6865	20.7571	278177	0.0848167	0.0274841	0	0.0216659	0.00583431	0.00552801
123	5269.25	441.25	71	24.6874	20.7577	278186	0.0660302	0.0171077	0	0.0197978	0.00533182	0.00552819
124	5271.5	441.25	71	24.6881	20.7582	278193	0.0623199	0.015174	0	0.0193457	0.00521899	0.00552834
125	5272.25	441.25	71	24.6886	20.7589	278201	0.0706402	0.0197896	0	0.0201548	0.00543432	0.00552832
126	5274.75	441.25	71	24.6898	20.7596	278211	0.0848041	0.0276106	0	0.0215682	0.00581743	0.00552846
127	5275.5	441	71	24.6886	20.7581	278212	0.0784278	0.0246443	0	0.020556	0.00554141	0.00552819
128	5279.5	441	71	24.6886	20.7585	278215	0.0565556	0.0114892	0	0.01912	0.00516743	0.00552818
129	5281	441	71	24.6879	20.7588	278217	0.0557463	0.0111805	0	0.0189504	0.00512538	0.00552817
130	5282.5	441	71	24.6892	20.7597	278230	0.0771292	0.0244993	0	0.0200288	0.00541065	0.00552803
131	5285	441	71	24.6888	20.7605	278235	0.0726049	0.0224022	0	0.0192995	0.00522002	0.00552777
132	5290	441	71	24.6902	20.7613	278247	0.0758517	0.0230761	0	0.0203879	0.00551066	0.00552767
133	5292.75	441	71	24.6911	20.7619	278256	0.0638539	0.0161856	0	0.0193733	0.00524313	0.00552759
134	5293.25	441	71	24.692	20.7624	278263	0.0584703	0.0140586	0	0.0182546	0.0049538	0.00552746
135	5296	441.25	71	24.6934	20.7651	278276	0.0717415	0.0215775	0	0.0194439	0.00526571	0.00552731
136	5298.75	441.25	71	24.6947	20.7658	278287	0.0823673	0.0278243	0	0.0202497	0.00548226	0.00552713
137	5302.75	441.25	71	24.6944	20.7665	278291	0.0895128	0.0313455	0	0.0212526	0.00575318	0.00552686
138	5305	441	71	24.6874	20.7594	278204	0.0598589	0.0147139	0	0.0184697	0.00500579	0.00552397
139	5307.75	441	71	24.6885	20.7602	278215	0.0729329	0.0218812	0	0.0198051	0.0053644	0.00552358
140	5317.5	441	71	24.6882	20.7602	278213	0.0349401	0.000757245	0	0.0174854	0.00476406	0.00552324
141	5317.5	441	71	24.6888	20.7607	278221	0.0667019	0.0180264	0	0.0194595	0.00527908	0.00552279
142	5322.5	441	71	24.6897	20.7614	278231	0.06927	0.01987	0	0.0194258	0.00527205	0.00552239
143	5325.75	441	71	24.6903	20.7622	278241	0.0748986	0.0234432	0	0.019668	0.00533839	0.00552196
