iter	precipitation	interception	throughfall	runoff	leak	evaporation	transpitation_0	transpitation_1	transpitation_2	transpitation_3	transpitation_4	transpiration1016	SWC_0	SWC_1	SWC_2	SWC_3	SWC_4	SWP_0	SWP_1	SWP_2	SWP_3	SWP_4
24	14.3964	1.68338e-06	0.0133443	0	0.0120286	7.80712e-05	0.000154398	0.000356573	0.000282416	9.19524e-05	6.30267e-06	0.000535722	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
25	17.5337	1.68088e-06	0.0164831	0	0.0155289	6.26572e-05	0.000115273	0.000266826	0.00021203	6.91433e-05	4.7396e-06	0.000454922	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
26	12.5639	1.67825e-06	0.011515	0	0.0107969	5.01087e-05	0.000107858	0.000249378	0.000198082	6.46768e-05	4.44537e-06	0.000453325	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
27	14.4172	1.67568e-06	0.0133699	0	0.0126517	9.38088e-05	0.000194831	0.000449483	0.000355133	0.000115353	7.88992e-06	0.000870464	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
28	3.02819	1.67288e-06	0.00198264	0	0.000669606	0.000190332	0.00037091	0.000846676	0.000660528	0.000212716	1.44651e-05	0.00143096	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
29	1.11854	1.67542e-06	7.14039e-05	0	0	0.000148127	0.000255826	0.000676711	0.000575043	0.000190749	1.2981e-05	0.00127587	0.373421	0.37578	0.377236	0.377812	0.377896	-0.0109827	-0.0104489	-0.0101373	-0.0100175	-0.0100002	
30	2.8935	1.67319e-06	0.00184776	0	0	0.000156801	0.000324757	0.000682813	0.000541775	0.000187356	1.29115e-05	0.00124107	0.377897	0.376539	0.376668	0.377735	0.377895	-0.01	-0.0102859	-0.0102574	-0.0100333	-0.0100005	
31	14.5287	1.67508e-06	0.0134818	0	0.00942011	0.000109675	0.000277702	0.000636838	0.000500071	0.000161864	1.10462e-05	0.00119797	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
32	9.3525	1.6765e-06	0.00830469	0	0.00660698	0.000110181	0.000212035	0.000489026	0.000386262	0.000125463	8.58331e-06	0.000872959	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
33	11.3731	1.67399e-06	0.0103269	0	0.00901846	8.70575e-05	0.000210292	0.000483738	0.000381267	0.00012378	8.47228e-06	0.000841585	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
34	11.0562	1.67168e-06	0.0100114	0	0.00872141	8.24852e-05	0.000210434	0.000485022	0.000383084	0.000124487	8.52137e-06	0.000911004	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
35	14.7107	1.66936e-06	0.0136673	0	0.0124226	3.31271e-05	0.000147819	0.000339941	0.000267941	8.69566e-05	5.95093e-06	0.000580465	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
36	5.11148	1.66685e-06	0.00406969	0	0.00307874	0.00014234	0.000257467	0.000590999	0.00046398	0.000150074	1.02402e-05	0.00098907	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
37	24.4988	1.66445e-06	0.0234585	0	0.0219454	4.04295e-05	5.20255e-05	0.000120493	9.65092e-05	3.16683e-05	2.17553e-06	0.000240716	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
38	1.66178	1.66186e-06	0.000623117	0	0.000155249	0.000165304	0.000347197	0.00079338	0.000619793	0.000199707	1.35748e-05	0.00134939	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
39	24.5046	1.66507e-06	0.0234639	0	0.021349	0.000140931	0.000307876	0.000708023	0.00055769	0.000181015	1.23923e-05	0.00133991	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
40	22.5927	1.66435e-06	0.0215525	0	0.0197026	8.2872e-05	0.000186235	0.000430375	0.000340902	0.000110983	7.61589e-06	0.000840635	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
41	15.5639	1.66196e-06	0.0145252	0	0.0133509	9.8166e-05	0.000211185	0.000487317	0.000385336	0.000125353	8.59877e-06	0.000823134	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
42	15.1663	1.65952e-06	0.0141291	0	0.0127895	0.00012174	0.000263958	0.000605074	0.000474684	0.000153468	1.04684e-05	0.00115109	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
43	23.0667	1.65982e-06	0.0220293	0	0.0204536	6.79685e-05	0.000242947	0.000559966	0.000442676	0.000144134	9.89478e-06	0.00102309	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
44	21.0896	1.66005e-06	0.020052	0	0.0185503	0.000102142	0.000256162	0.00058911	0.000463811	0.000150336	1.02771e-05	0.00119639	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
45	7.71268	1.65847e-06	0.00667614	0	0.00506666	0.000139794	0.000263221	0.000605101	0.000475761	0.00015405	1.05292e-05	0.0011369	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
46	21.7007	1.65614e-06	0.0206657	0	0.0190834	7.35493e-05	0.00021334	0.00049224	0.000389252	0.0001267	8.70066e-06	0.000907726	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
47	44.5967	1.65323e-06	0.0435634	0	0.042307	2.61528e-05	5.16024e-05	0.000119153	9.49035e-05	3.10906e-05	2.1458e-06	0.000261498	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
48	13.8989	1.65059e-06	0.0128673	0	0.0125242	4.42636e-05	7.55967e-05	0.000175499	0.000140251	4.59699e-05	3.16736e-06	0.000257984	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
49	13.3367	1.64795e-06	0.0123067	0	0.0118275	3.87803e-05	0.000120849	0.000279705	0.00022229	7.25168e-05	4.98057e-06	0.000395141	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
50	14.8555	1.64541e-06	0.0138271	0	0.0130692	5.76166e-05	0.000183956	0.000424245	0.000335281	0.000108961	7.46262e-06	0.000875577	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
51	23.5767	1.64293e-06	0.0225499	0	0.0214038	8.6191e-05	0.000182389	0.000420078	0.000331424	0.000107558	7.35678e-06	0.000918302	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
52	6.3497	1.64037e-06	0.00532447	0	0.00410758	0.000168093	0.000326417	0.000748146	0.000586018	0.000189128	1.28845e-05	0.00131211	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
53	6.38003	1.64281e-06	0.00535327	0	0.00338075	0.00010994	0.000188729	0.000434261	0.000342263	0.000110975	7.58326e-06	0.000646881	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
54	1.5622	1.64038e-06	0.00053696	0	0	0.000138807	0.000367683	0.000811692	0.000645348	0.000212238	1.4507e-05	0.00157653	0.377897	0.377325	0.377558	0.377852	0.377896	-0.01	-0.0101187	-0.01007	-0.0100091	-0.0100001	
55	18.8181	1.64288e-06	0.0177913	0	0.0149789	7.52557e-05	0.000276099	0.00063349	0.000497583	0.000161214	1.10323e-05	0.00109474	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
56	12.1992	1.64244e-06	0.0111727	0	0.00953408	5.91931e-05	0.000103728	0.000240547	0.000191458	6.24734e-05	4.28822e-06	0.000440322	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
57	3.7308	1.63981e-06	0.00270592	0	0.00200376	9.9668e-05	0.000321993	0.000739227	0.000581288	0.000188443	1.28922e-05	0.00138839	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
58	17.2306	1.64254e-06	0.016204	0	0.0142325	0.000127645	0.000285189	0.000654877	0.000514183	0.000166283	1.13506e-05	0.00114285	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
59	52.1825	1.64265e-06	0.0511558	0	0.0494778	4.60826e-05	6.87407e-05	0.000159243	0.00012699	4.15345e-05	2.85584e-06	0.000216591	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
60	16.0026	1.64001e-06	0.0149776	0	0.0144986	7.96558e-05	0.000134075	0.000309029	0.000244222	7.94815e-05	5.45704e-06	0.00036513	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
61	5.74785	1.63739e-06	0.00472448	0	0.00382341	0.000128808	0.000206242	0.000473614	0.000372566	0.000120861	8.27988e-06	0.000644259	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
62	1.19598	1.63487e-06	0.000174187	0	0	0.000208077	0.000385187	0.000944939	0.00076977	0.000251103	1.70337e-05	0.0016014	0.375495	0.376713	0.377524	0.377849	0.377896	-0.0105121	-0.0102478	-0.0100771	-0.01001	-0.0100001	
63	14.1556	1.63784e-06	0.013132	0	0.00944022	0.000108231	0.000250423	0.00057526	0.000452206	0.000146413	1.00014e-05	0.00100859	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
64	26.4205	1.63658e-06	0.0253977	0	0.0239174	4.5951e-05	0.000130499	0.000301055	0.000238308	7.76342e-05	5.33467e-06	0.000509244	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
65	4.82634	1.63397e-06	0.00380511	0	0.00297626	7.6011e-05	0.000121669	0.000281918	0.000224266	7.31853e-05	5.02373e-06	0.000501868	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
66	1.67528	1.63141e-06	0.000655654	0	6.57424e-06	0.000185685	0.000366401	0.000836813	0.000647092	0.000210447	1.43602e-05	0.00159121	0.377897	0.377887	0.377735	0.377868	0.377896	-0.01	-0.010002	-0.0100335	-0.0100059	-0.0100001	
67	6.6391	1.63393e-06	0.00561789	0	0.00317727	0.000122815	0.000250103	0.000575164	0.000452825	0.000146813	1.00395e-05	0.00102166	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
68	15.5233	1.6323e-06	0.0145031	0	0.0129702	9.79912e-05	0.000232204	0.000534108	0.000420904	0.000136631	9.35691e-06	0.000915789	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
69	12.635	1.63093e-06	0.0116157	0	0.0101943	8.81662e-05	0.000212959	0.000490433	0.000386957	0.000125716	8.6135e-06	0.000812861	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
70	5.92657	1.62843e-06	0.0049088	0	0.00361026	7.38504e-05	0.000210792	0.000485339	0.000382772	0.00012433	8.52158e-06	0.000876246	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
71	19.5538	1.6254e-06	0.0185379	0	0.0172361	9.00379e-05	0.000260863	0.000597886	0.000469027	0.000151703	1.03623e-05	0.00116366	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
72	3.28118	1.62718e-06	0.00226419	0	0.000572828	0.000201528	0.000417056	0.000952043	0.000742355	0.000238732	1.62017e-05	0.00174124	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
73	8.64246	1.63031e-06	0.00762351	0	0.00511913	0.000137993	0.00030632	0.000703452	0.000552857	0.000179022	1.22304e-05	0.00128315	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
74	7.04834	1.63231e-06	0.00602815	0	0.0040854	0.000188852	0.000354732	0.000811606	0.000634556	0.000204605	1.39336e-05	0.00132691	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
75	30.1944	1.63422e-06	0.029173	0	0.027103	5.05533e-05	0.000129875	0.000301115	0.000239633	7.82704e-05	5.38167e-06	0.000579084	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
76	25.646	1.63149e-06	0.0246264	0	0.0238118	6.02815e-05	9.86104e-05	0.00022773	0.000180767	5.89594e-05	4.04463e-06	0.000464641	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
77	7.33837	1.62884e-06	0.00632035	0	0.00568848	6.17502e-05	0.000126614	0.0002927	0.00023208	7.56945e-05	5.20713e-06	0.00056419	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
78	8.72914	1.6261e-06	0.00771283	0	0.00681512	0.000165392	0.000303049	0.000695551	0.000546299	0.000176846	1.20812e-05	0.00116141	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
79	13.252	1.62676e-06	0.0122353	0	0.0103932	0.000108302	0.000229552	0.000528591	0.000416963	0.000135439	9.27898e-06	0.00107759	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
80	11.867	1.62444e-06	0.0108518	0	0.00945651	7.54294e-05	0.000105373	0.000243729	0.000193622	6.31162e-05	4.32533e-06	0.000557217	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
81	2.5834	1.62183e-06	0.00156976	0	0.000848253	0.000111361	0.000239901	0.000552088	0.000434843	0.000140909	9.62474e-06	0.00107882	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
82	17.4495	1.62207e-06	0.0164357	0	0.0149887	6.96283e-05	0.000204666	0.00047187	0.000372891	0.000121339	8.33142e-06	0.000826909	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
83	28.6371	1.61954e-06	0.0276248	0	0.0263394	0.000106376	0.000238271	0.000549039	0.000433597	0.000141056	9.68387e-06	0.00104102	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
84	12.2895	1.61803e-06	0.0112782	0	0.00984739	5.91958e-05	9.62858e-05	0.000222977	0.000177567	5.80166e-05	3.98331e-06	0.00033531	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
85	8.52217	1.61539e-06	0.00751255	0	0.00677371	0.000180007	0.000262201	0.000600418	0.000469978	0.00015156	1.03115e-05	0.00118512	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
86	7.38805	1.61483e-06	0.00637878	0	0.0047292	0.000155095	0.000300442	0.000689387	0.000541017	0.000174895	1.19286e-05	0.00124198	0.377897	0.377897	0.377897	0.377897	0.377897	-0.01	-0.01	-0.01	-0.01	-0.01	
