iter	LAI
456	4.99838
457	4.99002
458	4.98212
459	4.97497
460	4.98052
461	4.9718
462	4.9785
463	4.97111
464	4.96258
465	4.95955
466	4.95127
467	4.94295
468	4.9344
469	4.9256
470	4.91632
471	4.90888
472	4.90061
473	4.89651
474	4.89142
475	4.89543
476	4.887
477	4.87839
478	4.87069
479	4.86218
480	4.8535
481	4.84493
482	4.83655
483	4.82693
484	4.81865
485	4.81106
486	4.80329
487	4.80992
488	4.81736
489	4.82298
490	4.82799
491	4.82088
492	4.81387
493	4.80576
494	4.79781
495	4.80199
496	4.80217
497	4.7947
498	4.7963
499	4.80107
500	4.79511
501	4.80107
502	4.79293
503	4.78484
504	4.77667
505	4.76949
506	4.77472
507	4.77331
508	4.77904
509	4.77232
510	4.77631
511	4.78321
512	4.78857
513	4.79365
514	4.78617
515	4.79199
516	4.79651
517	4.789
518	4.78056
519	4.78516
520	4.79138
521	4.79738
522	4.80463
523	4.81135
524	4.81626
525	4.82148
526	4.82545
527	4.82303
528	4.82831
529	4.83353
530	4.8274
531	4.82066
532	4.82303
533	4.82744
534	4.83368
535	4.82608
536	4.82995
537	4.83046
538	4.83566
539	4.84175
540	4.83601
541	4.84197
542	4.83582
543	4.84262
544	4.84797
545	4.8384
546	4.84551
547	4.85169
548	4.85778
549	4.85401
550	4.86059
551	4.858
552	4.85357
553	4.85864
554	4.86485
555	4.87099
556	4.8764
557	4.86901
558	4.86264
559	4.85442
560	4.847
561	4.84842
562	4.84082
563	4.83583
564	4.82925
565	4.8347
566	4.82886
567	4.83609
568	4.84308
569	4.85069
570	4.84388
571	4.8508
572	4.85545
573	4.86298
574	4.86918
575	4.87505
576	4.88106
577	4.88717
578	4.89344
579	4.89957
580	4.90531
581	4.91372
582	4.92096
583	4.92815
584	4.93312
585	4.93863
586	4.9463
587	4.95354
588	4.96209
589	4.96922
590	4.97526
591	4.97332
592	4.97985
593	4.98172
594	4.9899
595	4.99726
596	5.00443
597	5.01264
598	5.02048
599	5.02641
600	5.03368
601	5.04216
602	5.05022
603	5.05705
604	5.06527
605	5.07461
606	5.08249
607	5.09024
608	5.09819
609	5.10487
610	5.11259
611	5.12111
612	5.12852
613	5.13583
614	5.12983
615	5.13776
616	5.14625
617	5.15331
618	5.16055
619	5.16669
620	5.1743
621	5.18177
622	5.18901
623	5.19474
624	5.20279
625	5.2107
626	5.21609
627	5.20783
628	5.21396
629	5.22055
630	5.22355
631	5.229
632	5.23714
633	5.2435
634	5.24934
635	5.24541
636	5.23754
637	5.23036
638	5.2403
639	5.23241
640	5.24025
641	5.25063
642	5.25857
643	5.26549
644	5.27379
645	5.28084
646	5.28831
647	5.29568
648	5.30448
649	5.31259
650	5.31935
651	5.32443
652	5.33273
653	5.3395
654	5.34568
655	5.35126
656	5.35762
657	5.36016
658	5.36493
659	5.37053
660	5.37656
661	5.38337
662	5.38924
663	5.3949
664	5.40172
665	5.40714
666	5.41119
667	5.40365
668	5.41366
669	5.4197
670	5.4267
671	5.42769
672	5.43294
673	5.43471
674	5.4399
675	5.44659
676	5.45357
677	5.45868
678	5.45917
679	5.45085
680	5.4565
681	5.46336
682	5.47049
683	5.47579
684	5.48219
685	5.47497
686	5.46902
687	5.46078
688	5.46381
689	5.45727
690	5.45605
691	5.46553
692	5.4727
693	5.47593
694	5.48408
695	5.491
696	5.49752
697	5.50204
698	5.5062
699	5.51241
700	5.51843
701	5.52323
702	5.52784
703	5.5321
704	5.53727
705	5.53957
706	5.54605
707	5.5514
708	5.54965
709	5.54638
710	5.54672
711	5.54872
712	5.54382
713	5.53933
714	5.53087
715	5.52235
716	5.51633
717	5.52472
718	5.52199
719	5.52333
720	5.52294
721	5.53109
722	5.53678
723	5.53843
724	5.53806
725	5.54078
726	5.54802
727	5.55536
728	5.55869
729	5.55866
730	5.55184
731	5.54388
732	5.53541
733	5.52688
734	5.51939
735	5.51117
736	5.51224
737	5.50454
738	5.49663
739	5.48871
740	5.48029
741	5.47249
742	5.46428
743	5.45625
744	5.44827
745	5.44037
746	5.43213
747	5.42314
748	5.42355
749	5.41481
750	5.40935
751	5.40115
752	5.40711
753	5.39865
754	5.39004
755	5.38145
756	5.37754
757	5.37519
758	5.37474
759	5.37783
760	5.36933
761	5.36075
762	5.35199
763	5.34371
764	5.33979
765	5.34474
766	5.33693
767	5.3355
768	5.33118
769	5.34034
770	5.35004
771	5.34241
772	5.34413
773	5.33718
774	5.34079
775	5.33224
776	5.32393
777	5.31619
778	5.30746
779	5.29867
780	5.29013
781	5.29385
782	5.28511
783	5.28252
784	5.27414
785	5.28352
786	5.27526
787	5.2665
788	5.25924
789	5.25018
790	5.25212
791	5.2435
792	5.23471
793	5.22591
794	5.21754
795	5.2089
796	5.21051
797	5.21733
798	5.22542
799	5.21701
800	5.20862
801	5.21501
802	5.20635
803	5.21546
804	5.22431
805	5.21633
806	5.20766
807	5.21472
808	5.22274
809	5.21887
810	5.22614
811	5.22663
812	5.21793
813	5.20941
814	5.2009
815	5.20824
816	5.19963
817	5.19077
818	5.18216
819	5.17545
820	5.16684
821	5.15793
822	5.14929
823	5.14066
824	5.14352
825	5.13849
826	5.13067
827	5.12201
828	5.11428
829	5.10545
830	5.09791
831	5.09857
832	5.10817
833	5.09969
834	5.09112
835	5.09917
836	5.09192
837	5.08337
838	5.07487
839	5.06152
840	5.0528
841	5.05344
842	5.04538
843	5.05237
844	5.0607
845	5.06712
846	5.07578
847	5.08
848	5.08503
849	5.08766
850	5.0867
851	5.07729
852	5.06788
853	5.05916
854	5.05081
855	5.04226
856	5.04833
857	5.04028
858	5.03154
859	5.0369
860	5.0315
861	5.02294
862	5.02953
863	5.03515
864	5.04127
865	5.03624
866	5.04353
867	5.04936
868	5.05241
869	5.05894
870	5.06591
871	5.06946
872	5.06471
873	5.06059
874	5.05229
875	5.04363
876	5.0353
877	5.04106
878	5.04773
879	5.05445
880	5.05129
881	5.05697
882	5.05027
883	5.04206
884	5.03354
885	5.02413
886	5.01581
887	5.00783
888	4.99972
889	4.99291
890	4.98857
891	4.98048
892	4.97762
893	4.96924
894	4.96046
895	4.96581
896	4.95767
897	4.95048
898	4.95465
899	4.956
900	4.94872
901	4.94075
902	4.93246
903	4.92403
904	4.91598
905	4.90797
906	4.89984
907	4.90512
908	4.91245
909	4.91575
910	4.90732
911	4.91353
912	4.90503
913	4.91022
914	4.91704
915	4.90986
916	4.91577
917	4.92183
918	4.91425
919	4.90882
920	4.91577
921	4.92225
922	4.92765
923	4.93292
924	4.93967
925	4.94599
926	4.95255
927	4.95767
928	4.95187
929	4.95809
930	4.96474
931	4.97187
932	4.97849
933	4.97316
934	4.98066
935	4.98744
936	4.98272
937	4.98896
938	4.99564
939	5.00189
940	5.00656
941	5.01342
942	5.02077
943	5.02738
944	5.03435
945	5.04094
946	5.04718
947	5.05464
948	5.06104
949	5.06772
950	5.07472
951	5.08139
952	5.08742
953	5.08128
954	5.08862
955	5.09389
956	5.10052
957	5.10812
958	5.11509
959	5.12005
960	5.12619
961	5.13235
962	5.13847
963	5.14435
964	5.14934
965	5.15561
966	5.15439
967	5.16155
968	5.16934
969	5.17645
970	5.18305
971	5.18994
972	5.19595
973	5.20047
974	5.20807
975	5.20941
976	5.21221
977	5.21673
978	5.21996
979	5.22358
980	5.21777
981	5.20971
982	5.21257
983	5.21455
984	5.22134
985	5.22624
986	5.23358
987	5.24125
988	5.24924
989	5.25453
990	5.26162
991	5.26203
992	5.26992
993	5.26248
994	5.27027
995	5.27494
996	5.2812
997	5.28798
998	5.2959
999	5.30369
1000	5.31061
1001	5.31559
1002	5.32365
1003	5.33065
1004	5.33635
1005	5.3435
1006	5.35025
1007	5.35612
1008	5.3628
1009	5.36884
1010	5.37412
1011	5.37975
1012	5.38417
1013	5.36847
1014	5.37652
1015	5.3808
1016	5.38292
1017	5.38762
1018	5.39239
1019	5.39784
1020	5.40336
1021	5.40899
1022	5.41419
1023	5.41941
1024	5.42538
1025	5.4307
1026	5.4341
1027	5.43904
1028	5.44187
1029	5.43487
1030	5.44423
1031	5.44938
1032	5.45622
1033	5.46175
1034	5.46399
1035	5.45725
1036	5.46625
1037	5.47295
1038	5.4784
1039	5.48426
1040	5.49101
1041	5.49758
1042	5.49215
1043	5.49312
1044	5.49575
1045	5.50092
1046	5.50771
1047	5.51367
1048	5.51899
1049	5.52394
1050	5.52972
1051	5.53367
1052	5.53914
1053	5.54349
1054	5.54664
1055	5.55105
1056	5.55527
1057	5.55622
1058	5.56211
1059	5.56569
1060	5.56726
1061	5.57046
1062	5.57028
1063	5.56302
1064	5.56833
1065	5.57501
1066	5.57849
1067	5.58326
1068	5.57736
1069	5.57049
1070	5.5701
1071	5.57072
1072	5.55121
1073	5.54859
1074	5.55429
1075	5.5595
1076	5.56418
1077	5.56137
1078	5.55942
1079	5.56437
1080	5.56476
1081	5.56294
1082	5.55467
1083	5.54307
1084	5.54423
